Country,Latitude,Longitude
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5078,1.5211
Angola,-11.2027,17.8739
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahrain,26.0667,50.5577
Bangladesh,23.685,90.3563
Belarus,53.9006,27.559
Belgium,50.5039,4.4699
Belize,17.1899,-88.4976
Bermuda,32.3078,-64.7505
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Cambodia,12.5657,104.991
Canada,56.1304,-106.3468
Cape Verde,16.5388,-23.0418
Cayman Islands,19.3133,-81.2546
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.473
Denmark,56.2639,9.5018
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Estonia,58.7523778,25.3319078
Ethiopia,10.2116702,38.6521203
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
French Guiana,4.0039882,-52.999998
Gabon,-0.8999695,11.6899699
Gambia,13.470062,-15.4900464
Georgia,32.3293809,-83.1137366
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Gibraltar,36.1285933,-5.3474761
Greece,38.9953683,21.9877132
Grenada,12.1360374,-61.6904045
Guadeloupe,16.2528827,-61.5686855
Guam,13.4499943,144.7651677
Guatemala,15.5855545,-90.345759
Honduras,15.2572432,-86.0755145
Hong Kong,22.350627,114.1849161
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iran,32.6475314,54.5643516
Iraq,33.0955793,44.1749775
Ireland,52.865196,-7.9794599
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Ivory Coast,7.9897371,-5.5679458
Japan,36.5748441,139.2394179
Jersey,49.2214561,-2.1358386
Jordan,44.6663146,-93.6261918
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
Kosovo,42.5869578,20.9021231
Kuwait,29.3796532,47.9734174
Kyrgyzstan,41.5089324,74.724091
Laos,20.0171109,103.378253
Latvia,56.8406494,24.7537645
Lebanon,40.375713,-76.4626118
Liberia,5.7499721,-9.3658524
Liechtenstein,47.1416307,9.5531527
Lithuania,55.3500003,23.7499997
Luxembourg,49.6112768,6.129799
Macao,22.1757605,113.5514142
Macedonia,41.1927739,-95.4256198
Madagascar,-18.9249604,46.4416422
Malaysia,4.5693754,102.2656823
Malta,35.8885993,14.4476911
Martinique,14.6113732,-60.9620777
Mexico,19.4326296,-99.1331785
Moldova,47.2879608,28.5670941
Monaco,43.7323492,7.4276832
Mongolia,46.8250388,103.8499736
Montenegro,-29.6826112,-51.4687455
Myanmar,17.1750495,95.9999652
Nepal,28.3780464,83.9999901
Netherlands,52.2434979,5.6343227
New Caledonia,-20.63784275,161.2117626122578
New Zealand,-41.5000831,172.8344077
Nigeria,9.6000359,7.9999721
Norway,64.5731537,11.52803643954819
Pakistan,30.3308401,71.247499
Palestinian Territory,31.756252446564485,34.963921366502575
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,39.6621648,-8.1353519
Puerto Rico,18.2247706,-66.4858295
Qatar,25.3336984,51.2295295
Reunion,-21.1309332,55.5265771
Romania,45.9852129,24.6859225
Russia,64.6863136,97.7453061
San Marino,43.9458623,12.458306
Saudi Arabia,25.6242618,42.3528328
Senegal,14.4750607,-14.4529612
Serbia,44.02432285,21.07657433209902
Singapore,1.357107,103.8194992
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
South Africa,-28.8166236,24.991639
South Korea,36.638392,127.6961188
Spain,39.3260685,-4.8379791
Sri Lanka,7.5554942,80.7137847
Sudan,34.0678644,-102.524362
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Taiwan,23.5983227,120.83537694479216
Tajikistan,38.6281733,70.8156541
Thailand,14.8971921,100.83273
Togo,8.7800265,1.0199765
Trinidad and Tobago,10.7466905,-61.0840075
Turkey,38.9597594,34.9249653
Turkmenistan,39.3763807,59.3924609
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.9994829
United Kingdom of Great Britain and Northern Ireland,54.7023545,-3.2765753
United States of America,39.7837304,-100.445882
Uzbekistan,41.32373,63.9528098
Vatican,41.9034912,12.4528349
Venezuela,8.0018709,-66.1109318
Vietnam,15.9266657,107.9650855
Zambia,-14.5189121,27.5589884
